,State,Total_Expenses,Sales,Profit,Market,Trade,Product_Type,Inventory,Type,New_Column
33,California,90.0,509.0,221.0,West,66,Espresso,1417.0,Regular,599.0
34,California,93.0,531.0,232.0,West,69,Espresso,1775.0,Regular,624.0
35,California,146.0,298.0,27.0,West,113,Espresso,700.0,Regular,444.0
36,California,146.0,318.0,40.0,West,113,Espresso,700.0,Regular,464.0
37,California,113.0,604.0,313.0,West,80,Espresso,1260.0,Decaf,717.0
38,California,88.0,498.0,245.0,West,66,Herbal Tea,923.0,Decaf,586.0
40,California,27.0,106.0,43.0,West,14,Herbal Tea,531.0,Decaf,133.0
41,California,45.0,322.0,199.0,West,34,Tea,959.0,Regular,367.0
42,California,92.0,510.0,218.0,West,63,Espresso,1459.0,Regular,602.0
43,California,94.0,135.0,-180.0,West,50,Coffee,1288.0,Decaf,229.0
44,California,167.0,384.0,62.0,West,147,Espresso,943.0,Regular,551.0
45,California,39.0,245.0,106.0,West,28,Herbal Tea,822.0,Decaf,284.0
46,California,38.0,249.0,150.0,West,26,Herbal Tea,799.0,Decaf,287.0
47,California,40.0,190.0,67.0,West,27,Herbal Tea,574.0,Decaf,230.0
48,California,39.0,202.0,101.0,West,27,Herbal Tea,613.0,Decaf,241.0
49,California,26.0,142.0,79.0,West,15,Tea,601.0,Regular,168.0
50,California,142.0,645.0,245.0,West,90,Coffee,2067.0,Regular,787.0
51,California,111.0,169.0,-142.0,West,66,Coffee,2393.0,Decaf,280.0
52,California,54.0,180.0,54.0,West,23,Tea,541.0,Regular,234.0
53,California,54.0,170.0,48.0,West,22,Tea,559.0,Regular,224.0
54,California,49.0,131.0,30.0,West,17,Tea,668.0,Regular,180.0
55,California,147.0,318.0,39.0,West,113,Espresso,729.0,Regular,465.0
56,California,115.0,626.0,326.0,West,83,Espresso,1316.0,Decaf,741.0
57,California,116.0,637.0,334.0,West,84,Espresso,1662.0,Decaf,753.0
58,California,39.0,261.0,157.0,West,28,Herbal Tea,822.0,Decaf,300.0
59,California,96.0,525.0,188.0,West,74,Herbal Tea,1321.0,Decaf,621.0
60,California,85.0,486.0,240.0,West,64,Herbal Tea,969.0,Decaf,571.0
61,California,89.0,527.0,265.0,West,75,Herbal Tea,1213.0,Decaf,616.0
63,California,38.0,230.0,98.0,West,26,Tea,562.0,Regular,268.0
64,California,96.0,521.0,165.0,West,72,Espresso,1559.0,Regular,617.0
65,California,91.0,509.0,220.0,West,66,Espresso,1464.0,Regular,600.0
66,California,54.0,194.0,83.0,West,23,Tea,650.0,Regular,248.0
67,California,54.0,179.0,70.0,West,22,Tea,677.0,Regular,233.0
68,California,37.0,234.0,102.0,West,26,Herbal Tea,821.0,Decaf,271.0
69,California,91.0,522.0,258.0,West,69,Herbal Tea,1272.0,Decaf,613.0
70,California,35.0,227.0,135.0,West,24,Tea,756.0,Regular,262.0
71,California,89.0,516.0,228.0,West,72,Espresso,1715.0,Regular,605.0
72,California,165.0,882.0,493.0,West,124,Coffee,2476.0,Regular,1047.0
74,California,100.0,165.0,-189.0,West,64,Coffee,3139.0,Decaf,265.0
75,California,56.0,201.0,86.0,West,24,Tea,549.0,Regular,257.0
76,California,51.0,160.0,58.0,West,19,Tea,656.0,Regular,211.0
77,California,189.0,412.0,50.0,West,156,Espresso,927.0,Regular,601.0
78,California,156.0,322.0,31.0,West,122,Espresso,940.0,Regular,478.0
79,California,134.0,280.0,26.0,West,95,Espresso,725.0,Regular,414.0
80,California,156.0,343.0,46.0,West,122,Espresso,940.0,Regular,499.0
81,California,116.0,628.0,326.0,West,83,Espresso,1686.0,Decaf,744.0
82,California,89.0,506.0,249.0,West,64,Herbal Tea,965.0,Decaf,595.0
83,California,39.0,190.0,68.0,West,27,Herbal Tea,613.0,Decaf,229.0
84,California,37.0,188.0,92.0,West,27,Herbal Tea,584.0,Decaf,225.0
85,California,25.0,96.0,39.0,West,12,Herbal Tea,541.0,Decaf,121.0
86,California,38.0,254.0,153.0,West,29,Tea,821.0,Regular,292.0
87,California,34.0,198.0,83.0,West,22,Tea,460.0,Regular,232.0
88,California,35.0,210.0,89.0,West,24,Tea,499.0,Regular,245.0
89,California,145.0,678.0,262.0,West,94,Coffee,2101.0,Regular,823.0
90,California,88.0,496.0,243.0,West,66,Herbal Tea,942.0,Decaf,584.0
91,California,87.0,507.0,253.0,West,72,Herbal Tea,1060.0,Decaf,594.0
92,California,83.0,423.0,129.0,West,59,Espresso,1778.0,Regular,506.0
93,California,72.0,87.0,-139.0,West,49,Coffee,2105.0,Regular,159.0
94,California,63.0,117.0,-113.0,West,39,Coffee,964.0,Regular,180.0
95,California,161.0,842.0,465.0,West,110,Coffee,2580.0,Regular,1003.0
96,California,54.0,182.0,56.0,West,23,Tea,650.0,Regular,236.0
97,California,180.0,387.0,45.0,West,147,Espresso,943.0,Regular,567.0
98,California,146.0,298.0,27.0,West,113,Espresso,898.0,Regular,444.0
99,California,122.0,634.0,240.0,West,89,Espresso,1616.0,Decaf,756.0
100,California,119.0,672.0,357.0,West,96,Espresso,1742.0,Decaf,791.0
101,California,38.0,234.0,101.0,West,26,Herbal Tea,799.0,Decaf,272.0
102,California,40.0,261.0,156.0,West,28,Herbal Tea,981.0,Decaf,301.0
103,California,95.0,520.0,186.0,West,74,Herbal Tea,1246.0,Decaf,615.0
104,California,40.0,193.0,69.0,West,27,Herbal Tea,603.0,Decaf,233.0
105,California,38.0,190.0,92.0,West,25,Herbal Tea,593.0,Decaf,228.0
106,California,40.0,256.0,112.0,West,29,Tea,952.0,Regular,296.0
107,California,45.0,302.0,134.0,West,34,Tea,915.0,Regular,347.0
108,California,38.0,245.0,146.0,West,24,Tea,777.0,Regular,283.0
109,California,33.0,208.0,123.0,West,24,Tea,499.0,Regular,241.0
110,California,90.0,478.0,149.0,West,66,Espresso,1755.0,Regular,568.0
111,California,59.0,116.0,-56.0,West,36,Coffee,2758.0,Regular,175.0
112,California,54.0,181.0,71.0,West,22,Tea,559.0,Regular,235.0
113,California,38.0,254.0,153.0,West,29,Herbal Tea,871.0,Decaf,292.0
114,California,43.0,309.0,192.0,West,35,Herbal Tea,1007.0,Decaf,352.0
115,California,36.0,219.0,94.0,West,24,Tea,777.0,Regular,255.0
116,California,37.0,254.0,155.0,West,29,Tea,952.0,Regular,291.0
117,California,26.0,133.0,53.0,West,15,Tea,601.0,Regular,159.0
118,California,87.0,487.0,211.0,West,63,Espresso,1436.0,Regular,574.0
119,California,55.0,141.0,-40.0,West,33,Coffee,685.0,Regular,196.0
120,California,161.0,790.0,313.0,West,110,Coffee,2580.0,Regular,951.0
121,California,143.0,650.0,247.0,West,91,Coffee,2548.0,Regular,793.0
122,California,107.0,166.0,-137.0,West,64,Coffee,3139.0,Decaf,273.0
123,California,100.0,156.0,-188.0,West,57,Coffee,3909.0,Decaf,256.0
124,California,119.0,612.0,230.0,West,86,Espresso,1433.0,Decaf,731.0
125,California,40.0,245.0,105.0,West,28,Herbal Tea,981.0,Decaf,285.0
126,California,35.0,210.0,89.0,West,24,Herbal Tea,1003.0,Decaf,245.0
127,California,38.0,243.0,106.0,West,27,Tea,766.0,Regular,281.0
128,California,32.0,199.0,117.0,West,21,Tea,580.0,Regular,231.0
129,California,63.0,95.0,-156.0,West,45,Coffee,1514.0,Regular,158.0
130,California,159.0,756.0,295.0,West,105,Coffee,2250.0,Regular,915.0
131,California,178.0,910.0,368.0,West,127,Coffee,2617.0,Regular,1088.0
132,California,166.0,904.0,511.0,West,127,Coffee,2654.0,Regular,1070.0
133,California,91.0,118.0,-117.0,West,47,Coffee,862.0,Decaf,209.0
134,California,94.0,127.0,-121.0,West,50,Coffee,1288.0,Decaf,221.0
135,California,93.0,139.0,-174.0,West,50,Coffee,3654.0,Decaf,232.0
136,California,55.0,189.0,59.0,West,24,Tea,659.0,Regular,244.0
137,California,57.0,201.0,84.0,West,23,Tea,558.0,Regular,258.0
138,California,46.0,130.0,41.0,West,17,Tea,662.0,Regular,176.0
139,California,153.0,342.0,50.0,West,131,Espresso,874.0,Regular,495.0
140,California,128.0,678.0,259.0,West,96,Espresso,1742.0,Decaf,806.0
141,California,39.0,262.0,159.0,West,26,Herbal Tea,821.0,Decaf,301.0
142,California,102.0,567.0,205.0,West,80,Herbal Tea,1319.0,Decaf,669.0
143,California,42.0,213.0,104.0,West,27,Herbal Tea,623.0,Decaf,255.0
144,California,26.0,134.0,54.0,West,15,Tea,456.0,Regular,160.0
145,California,26.0,123.0,47.0,West,14,Tea,589.0,Regular,149.0
146,California,34.0,212.0,125.0,West,22,Tea,588.0,Regular,246.0
147,California,89.0,516.0,228.0,West,72,Espresso,1559.0,Regular,605.0
148,California,66.0,86.0,-190.0,West,49,Coffee,1832.0,Regular,152.0
149,California,113.0,628.0,331.0,West,89,Espresso,1616.0,Decaf,741.0
150,California,45.0,301.0,133.0,West,34,Herbal Tea,947.0,Decaf,346.0
151,California,42.0,265.0,115.0,West,30,Herbal Tea,971.0,Decaf,307.0
152,California,96.0,532.0,192.0,West,75,Herbal Tea,1213.0,Decaf,628.0
154,California,88.0,456.0,140.0,West,63,Espresso,1459.0,Regular,544.0
155,California,68.0,96.0,-113.0,West,45,Coffee,1514.0,Regular,164.0
156,California,146.0,675.0,259.0,West,94,Coffee,2041.0,Regular,821.0
157,California,178.0,912.0,370.0,West,127,Coffee,2654.0,Regular,1090.0
158,California,149.0,699.0,271.0,West,97,Coffee,2642.0,Regular,848.0
159,California,148.0,749.0,407.0,West,105,Coffee,2250.0,Regular,897.0
160,California,121.0,202.0,-157.0,West,78,Coffee,2797.0,Decaf,323.0
161,California,133.0,286.0,35.0,West,109,Espresso,788.0,Regular,419.0
162,California,130.0,687.0,262.0,West,97,Espresso,1714.0,Decaf,817.0
163,California,107.0,532.0,197.0,West,75,Espresso,1691.0,Decaf,639.0
164,California,109.0,581.0,300.0,West,77,Espresso,1282.0,Decaf,690.0
165,California,85.0,456.0,162.0,West,64,Herbal Tea,969.0,Decaf,541.0
166,California,40.0,190.0,67.0,West,27,Herbal Tea,623.0,Decaf,230.0
167,California,25.0,92.0,27.0,West,13,Herbal Tea,536.0,Decaf,117.0
168,California,27.0,150.0,84.0,West,15,Tea,456.0,Regular,177.0
169,California,32.0,201.0,119.0,West,21,Tea,449.0,Regular,233.0
170,California,34.0,211.0,123.0,West,22,Tea,460.0,Regular,245.0
171,California,35.0,228.0,135.0,West,26,Tea,608.0,Regular,263.0
172,California,96.0,521.0,165.0,West,72,Espresso,1715.0,Regular,617.0
173,California,61.0,109.0,-74.0,West,39,Coffee,2378.0,Regular,170.0
174,California,61.0,116.0,-110.0,West,39,Coffee,2378.0,Regular,177.0
175,California,110.0,163.0,-142.0,West,64,Coffee,1952.0,Decaf,273.0
176,California,117.0,192.0,-149.0,West,73,Coffee,4216.0,Decaf,309.0
177,California,53.0,160.0,43.0,West,21,Tea,593.0,Regular,213.0
178,California,49.0,135.0,32.0,West,17,Tea,641.0,Regular,184.0
179,California,165.0,345.0,36.0,West,131,Espresso,874.0,Regular,510.0
180,California,116.0,598.0,225.0,West,84,Espresso,1662.0,Decaf,714.0
181,California,88.0,465.0,164.0,West,66,Herbal Tea,942.0,Decaf,553.0
182,California,95.0,562.0,283.0,West,80,Herbal Tea,1319.0,Decaf,657.0
183,California,34.0,199.0,84.0,West,22,Tea,588.0,Regular,233.0
184,California,90.0,509.0,221.0,West,66,Espresso,1755.0,Regular,599.0
185,California,54.0,180.0,54.0,West,23,Tea,558.0,Regular,234.0
186,California,51.0,150.0,39.0,West,19,Tea,656.0,Regular,201.0
187,California,41.0,256.0,111.0,West,29,Herbal Tea,871.0,Decaf,297.0
188,California,33.0,211.0,125.0,West,22,Herbal Tea,984.0,Decaf,244.0
189,California,40.0,206.0,102.0,West,27,Herbal Tea,603.0,Decaf,246.0
190,California,45.0,301.0,133.0,West,34,Tea,941.0,Regular,346.0
191,California,37.0,243.0,145.0,West,28,Tea,598.0,Regular,280.0
192,California,26.0,131.0,70.0,West,14,Tea,589.0,Regular,157.0
193,California,90.0,478.0,149.0,West,66,Espresso,1417.0,Regular,568.0
194,California,59.0,105.0,-116.0,West,40,Coffee,1215.0,Regular,164.0
195,California,177.0,890.0,357.0,West,124,Coffee,2476.0,Regular,1067.0
196,California,147.0,298.0,26.0,West,113,Espresso,729.0,Regular,445.0
197,California,146.0,318.0,40.0,West,113,Espresso,898.0,Regular,464.0
198,California,46.0,312.0,139.0,West,35,Herbal Tea,1007.0,Decaf,358.0
199,California,94.0,512.0,183.0,West,72,Herbal Tea,1060.0,Decaf,606.0
200,California,38.0,178.0,62.0,West,25,Herbal Tea,593.0,Decaf,216.0
201,California,40.0,190.0,67.0,West,27,Herbal Tea,584.0,Decaf,230.0
202,California,27.0,99.0,29.0,West,14,Herbal Tea,531.0,Decaf,126.0
203,California,36.0,223.0,96.0,West,25,Tea,777.0,Regular,259.0
204,California,38.0,259.0,157.0,West,27,Tea,766.0,Regular,297.0
205,California,42.0,298.0,184.0,West,34,Tea,941.0,Regular,340.0
206,California,44.0,309.0,190.0,West,33,Tea,930.0,Regular,353.0
207,California,63.0,110.0,-76.0,West,39,Coffee,964.0,Regular,173.0
208,California,61.0,109.0,-74.0,West,39,Coffee,2555.0,Regular,170.0
209,California,143.0,693.0,367.0,West,91,Coffee,2548.0,Regular,836.0
210,California,91.0,122.0,-117.0,West,48,Coffee,1071.0,Decaf,213.0
211,California,109.0,169.0,-209.0,West,63,Coffee,1564.0,Decaf,278.0
212,California,96.0,147.0,-178.0,West,53,Coffee,3421.0,Decaf,243.0
213,California,49.0,131.0,30.0,West,17,Tea,662.0,Regular,180.0
214,California,54.0,192.0,80.0,West,23,Tea,541.0,Regular,246.0
215,California,128.0,250.0,17.0,West,95,Espresso,725.0,Regular,378.0
216,California,142.0,289.0,26.0,West,109,Espresso,912.0,Regular,431.0
217,California,110.0,672.0,344.0,West,96,Herbal Tea,1296.0,Decaf,782.0
218,California,31.0,141.0,64.0,West,19,Herbal Tea,548.0,Decaf,172.0
219,California,99.0,532.0,167.0,West,74,Espresso,1819.0,Regular,631.0
220,California,115.0,587.0,220.0,West,83,Espresso,1316.0,Decaf,702.0
221,California,48.0,323.0,143.0,West,36,Herbal Tea,994.0,Decaf,371.0
222,California,40.0,199.0,72.0,West,28,Herbal Tea,564.0,Decaf,239.0
223,California,45.0,322.0,199.0,West,34,Tea,915.0,Regular,367.0
224,California,38.0,230.0,98.0,West,26,Tea,608.0,Regular,268.0
225,California,87.0,457.0,142.0,West,63,Espresso,1436.0,Regular,544.0
226,California,67.0,86.0,-192.0,West,49,Coffee,2105.0,Regular,153.0
227,California,146.0,719.0,384.0,West,94,Coffee,2041.0,Regular,865.0
228,California,56.0,189.0,58.0,West,24,Tea,549.0,Regular,245.0
229,California,32.0,189.0,80.0,West,21,Tea,449.0,Regular,221.0
230,California,55.0,132.0,-27.0,West,33,Coffee,685.0,Regular,187.0
231,California,61.0,116.0,-110.0,West,39,Coffee,2555.0,Regular,177.0
232,California,96.0,138.0,-120.0,West,53,Coffee,3421.0,Decaf,234.0
233,California,100.0,146.0,-127.0,West,57,Coffee,3909.0,Decaf,246.0
234,California,113.0,200.0,-217.0,West,78,Coffee,2797.0,Decaf,313.0
235,California,121.0,681.0,362.0,West,97,Espresso,1714.0,Decaf,802.0
236,California,37.0,197.0,99.0,West,28,Herbal Tea,564.0,Decaf,234.0
237,California,52.0,145.0,-2.0,West,30,Coffee,608.0,Regular,197.0
238,California,57.0,133.0,-61.0,West,34,Coffee,796.0,Regular,190.0
239,California,59.0,124.0,-83.0,West,36,Coffee,2758.0,Regular,183.0
240,California,109.0,159.0,-141.0,West,63,Coffee,1564.0,Decaf,268.0
241,California,143.0,290.0,26.0,West,110,Espresso,712.0,Regular,433.0
242,California,143.0,309.0,39.0,West,110,Espresso,712.0,Regular,452.0
243,California,142.0,308.0,39.0,West,109,Espresso,912.0,Regular,450.0
244,California,113.0,567.0,211.0,West,80,Espresso,1260.0,Decaf,680.0
245,California,45.0,320.0,197.0,West,36,Herbal Tea,994.0,Decaf,365.0
246,California,35.0,224.0,132.0,West,24,Herbal Tea,1003.0,Decaf,259.0
247,California,118.0,678.0,249.0,West,96,Herbal Tea,1296.0,Decaf,796.0
248,California,45.0,302.0,134.0,West,34,Tea,959.0,Regular,347.0
249,California,33.0,211.0,125.0,West,22,Tea,441.0,Regular,244.0
250,California,99.0,532.0,167.0,West,74,Espresso,1797.0,Regular,631.0
251,California,94.0,501.0,157.0,West,70,Espresso,1820.0,Regular,595.0
252,California,57.0,125.0,-41.0,West,34,Coffee,796.0,Regular,182.0
253,California,91.0,130.0,-174.0,West,48,Coffee,1071.0,Decaf,221.0
254,California,102.0,162.0,-196.0,West,64,Coffee,1952.0,Decaf,264.0
255,California,103.0,167.0,-196.0,West,66,Coffee,2393.0,Decaf,270.0
256,California,42.0,282.0,171.0,West,30,Herbal Tea,971.0,Decaf,324.0
257,California,35.0,228.0,135.0,West,26,Tea,562.0,Regular,263.0
258,California,91.0,478.0,148.0,West,66,Espresso,1464.0,Regular,569.0
259,California,152.0,759.0,408.0,West,94,Coffee,2101.0,Regular,911.0
260,California,46.0,134.0,44.0,West,17,Tea,641.0,Regular,180.0
261,California,46.0,130.0,41.0,West,17,Tea,668.0,Regular,176.0
262,California,37.0,232.0,100.0,West,26,Herbal Tea,809.0,Decaf,269.0
263,California,42.0,298.0,184.0,West,34,Herbal Tea,947.0,Decaf,340.0
264,California,93.0,498.0,156.0,West,69,Espresso,1775.0,Regular,591.0
265,California,94.0,534.0,233.0,West,70,Espresso,1820.0,Regular,628.0
266,California,63.0,102.0,-88.0,West,40,Coffee,2947.0,Regular,165.0
267,California,139.0,623.0,235.0,West,87,Coffee,2580.0,Regular,762.0
268,California,93.0,130.0,-117.0,West,50,Coffee,3654.0,Decaf,223.0
269,California,117.0,205.0,-221.0,West,73,Coffee,4216.0,Decaf,322.0
270,California,143.0,290.0,26.0,West,110,Espresso,910.0,Regular,433.0
271,California,176.0,408.0,69.0,West,156,Espresso,927.0,Regular,584.0
272,California,143.0,309.0,39.0,West,110,Espresso,910.0,Regular,452.0
273,California,109.0,545.0,202.0,West,77,Espresso,1282.0,Decaf,654.0
274,California,114.0,611.0,316.0,West,77,Espresso,1310.0,Decaf,725.0
275,California,95.0,554.0,276.0,West,74,Herbal Tea,1246.0,Decaf,649.0
276,California,31.0,132.0,43.0,West,19,Herbal Tea,548.0,Decaf,163.0
277,California,36.0,238.0,142.0,West,25,Tea,777.0,Regular,274.0
278,California,40.0,274.0,166.0,West,31,Tea,897.0,Regular,314.0
279,California,33.0,198.0,84.0,West,22,Tea,441.0,Regular,231.0
280,California,83.0,451.0,191.0,West,59,Espresso,1778.0,Regular,534.0
281,Colorado,39.0,243.0,105.0,Central,27,Coffee,766.0,Regular,282.0
282,Colorado,36.0,227.0,134.0,Central,24,Coffee,756.0,Regular,263.0
283,Colorado,45.0,322.0,199.0,Central,34,Coffee,959.0,Regular,367.0
284,Colorado,39.0,190.0,68.0,Central,27,Coffee,584.0,Regular,229.0
285,Colorado,39.0,202.0,101.0,Central,27,Coffee,613.0,Regular,241.0
286,Colorado,38.0,197.0,98.0,Central,28,Coffee,564.0,Regular,235.0
287,Colorado,32.0,141.0,62.0,Central,19,Coffee,548.0,Regular,173.0
288,Colorado,24.0,96.0,40.0,Central,12,Coffee,541.0,Regular,120.0
289,Colorado,40.0,245.0,105.0,Central,28,Coffee,822.0,Decaf,285.0
291,Colorado,38.0,249.0,150.0,Central,26,Coffee,799.0,Decaf,287.0
292,Colorado,40.0,261.0,156.0,Central,28,Coffee,822.0,Decaf,301.0
293,Colorado,37.0,254.0,155.0,Central,29,Coffee,871.0,Decaf,291.0
294,Colorado,43.0,309.0,192.0,Central,35,Coffee,1007.0,Decaf,352.0
295,Colorado,26.0,100.0,30.0,Central,14,Tea,623.0,Regular,126.0
296,Colorado,28.0,106.0,32.0,Central,15,Tea,608.0,Regular,134.0
297,Colorado,26.0,94.0,27.0,Central,13,Tea,592.0,Regular,120.0
299,Colorado,28.0,113.0,47.0,Central,15,Tea,608.0,Regular,141.0
300,Colorado,26.0,134.0,54.0,Central,15,Espresso,456.0,Regular,160.0
301,Colorado,36.0,210.0,88.0,Central,24,Espresso,499.0,Regular,246.0
303,Colorado,34.0,199.0,84.0,Central,22,Espresso,588.0,Regular,233.0
304,Colorado,32.0,187.0,79.0,Central,21,Espresso,580.0,Regular,219.0
305,Colorado,25.0,123.0,48.0,Central,14,Espresso,589.0,Regular,148.0
306,Colorado,32.0,201.0,119.0,Central,21,Espresso,449.0,Regular,233.0
307,Colorado,34.0,228.0,137.0,Central,26,Espresso,562.0,Regular,262.0
308,Colorado,25.0,131.0,71.0,Central,14,Espresso,589.0,Regular,156.0
309,Colorado,55.0,189.0,59.0,Central,24,Espresso,549.0,Decaf,244.0
310,Colorado,52.0,160.0,44.0,Central,21,Espresso,593.0,Decaf,212.0
311,Colorado,48.0,135.0,33.0,Central,17,Espresso,641.0,Decaf,183.0
312,Colorado,48.0,131.0,31.0,Central,17,Espresso,668.0,Decaf,179.0
313,Colorado,51.0,150.0,39.0,Central,19,Espresso,656.0,Decaf,201.0
314,Colorado,54.0,182.0,56.0,Central,23,Espresso,650.0,Decaf,236.0
315,Colorado,56.0,189.0,58.0,Central,24,Espresso,659.0,Decaf,245.0
316,Colorado,54.0,181.0,71.0,Central,22,Espresso,559.0,Decaf,235.0
317,Colorado,45.0,130.0,43.0,Central,17,Espresso,668.0,Decaf,175.0
318,Colorado,69.0,325.0,94.0,Central,45,Herbal Tea,1091.0,Decaf,394.0
319,Colorado,65.0,291.0,81.0,Central,40,Herbal Tea,1304.0,Decaf,356.0
320,Colorado,64.0,291.0,82.0,Central,40,Herbal Tea,1292.0,Decaf,355.0
321,Colorado,66.0,306.0,87.0,Central,42,Herbal Tea,1319.0,Decaf,372.0
322,Colorado,68.0,330.0,129.0,Central,43,Herbal Tea,1280.0,Decaf,398.0
323,Colorado,76.0,122.0,-5.0,Central,46,Herbal Tea,503.0,Decaf,198.0
324,Colorado,77.0,125.0,-4.0,Central,47,Herbal Tea,509.0,Decaf,202.0
325,Colorado,77.0,133.0,-6.0,Central,47,Herbal Tea,421.0,Decaf,210.0
326,Colorado,65.0,106.0,-10.0,Central,40,Herbal Tea,496.0,Decaf,171.0
327,Colorado,61.0,94.0,-14.0,Central,36,Herbal Tea,517.0,Decaf,155.0
328,Colorado,47.0,140.0,33.0,Central,19,Herbal Tea,329.0,Decaf,187.0
329,Colorado,42.0,108.0,20.0,Central,15,Herbal Tea,415.0,Decaf,150.0
330,Colorado,44.0,127.0,29.0,Central,17,Herbal Tea,424.0,Decaf,171.0
331,Colorado,39.0,107.0,28.0,Central,15,Herbal Tea,415.0,Decaf,146.0
332,Colorado,54.0,121.0,13.0,Central,20,Tea,337.0,Regular,175.0
333,Colorado,53.0,120.0,13.0,Central,20,Tea,404.0,Regular,173.0
334,Colorado,51.0,103.0,6.0,Central,17,Tea,422.0,Regular,154.0
335,Colorado,51.0,110.0,9.0,Central,17,Tea,422.0,Regular,161.0
336,Colorado,40.0,140.0,36.0,Central,19,Tea,965.0,Regular,180.0
337,Colorado,41.0,135.0,32.0,Central,19,Tea,952.0,Regular,176.0
338,Colorado,39.0,122.0,27.0,Central,17,Tea,992.0,Regular,161.0
339,Colorado,37.0,118.0,27.0,Central,16,Tea,1037.0,Regular,155.0
340,Colorado,37.0,116.0,26.0,Central,16,Tea,1054.0,Regular,153.0
341,Colorado,41.0,147.0,50.0,Central,19,Tea,965.0,Regular,188.0
342,Colorado,36.0,121.0,37.0,Central,17,Tea,992.0,Regular,157.0
343,Colorado,36.0,219.0,94.0,Central,24,Coffee,777.0,Regular,255.0
344,Colorado,42.0,276.0,121.0,Central,31,Coffee,897.0,Regular,318.0
345,Colorado,45.0,302.0,134.0,Central,34,Coffee,959.0,Regular,347.0
346,Colorado,38.0,245.0,146.0,Central,24,Coffee,777.0,Regular,283.0
347,Colorado,39.0,274.0,167.0,Central,31,Coffee,897.0,Regular,313.0
348,Colorado,46.0,322.0,197.0,Central,34,Coffee,915.0,Regular,368.0
349,Colorado,44.0,309.0,190.0,Central,33,Coffee,930.0,Regular,353.0
350,Colorado,29.0,120.0,39.0,Central,17,Coffee,554.0,Regular,149.0
351,Colorado,24.0,90.0,27.0,Central,12,Coffee,541.0,Regular,114.0
352,Colorado,25.0,98.0,40.0,Central,13,Coffee,536.0,Regular,123.0
353,Colorado,38.0,232.0,99.0,Central,26,Coffee,809.0,Decaf,270.0
354,Colorado,46.0,301.0,132.0,Central,34,Coffee,947.0,Decaf,347.0
355,Colorado,47.0,323.0,144.0,Central,36,Coffee,994.0,Decaf,370.0
356,Colorado,41.0,265.0,116.0,Central,30,Coffee,971.0,Decaf,306.0
357,Colorado,40.0,262.0,157.0,Central,26,Coffee,821.0,Decaf,302.0
358,Colorado,41.0,282.0,172.0,Central,30,Coffee,971.0,Decaf,323.0
359,Colorado,26.0,99.0,30.0,Central,14,Tea,602.0,Regular,125.0
360,Colorado,34.0,155.0,53.0,Central,22,Tea,587.0,Regular,189.0
