State,Total Expenses,Product,Sales,Market Size,Profit,Market,Marketing,Product Type,Inventory,Type
California,94,Decaf Irish Cream,135,Major Market,-180,West,50,Coffee,1288,Decaf
California,167,Caffe Mocha,384,Major Market,62,West,147,Espresso,943,Regular
California,39,Chamomile,245,Major Market,106,West,28,Herbal Tea,822,Decaf
California,38,Chamomile,249,Major Market,150,West,26,Herbal Tea,799,Decaf
California,40,Mint,190,Major Market,67,West,27,Herbal Tea,574,Decaf
California,39,Mint,202,Major Market,101,West,27,Herbal Tea,613,Decaf
California,26,Earl Grey,142,Major Market,79,West,15,Tea,601,Regular
California,142,Columbian,645,Major Market,245,West,90,Coffee,2067,Regular
California,111,Decaf Irish Cream,169,Major Market,-142,West,66,Coffee,2393,Decaf
California,54,Green Tea,180,Major Market,54,West,23,Tea,541,Regular
California,54,Green Tea,170,Major Market,48,West,22,Tea,559,Regular
California,49,Green Tea,131,Major Market,30,West,17,Tea,668,Regular
California,147,Caffe Mocha,318,Major Market,39,West,113,Espresso,729,Regular
California,115,Decaf Espresso,626,Major Market,326,West,83,Espresso,1316,Decaf
California,116,Decaf Espresso,637,Major Market,334,West,84,Espresso,1662,Decaf
California,39,Chamomile,261,Major Market,157,West,28,Herbal Tea,822,Decaf
California,96,Lemon,525,Major Market,188,West,74,Herbal Tea,1321,Decaf
California,85,Lemon,486,Major Market,240,West,64,Herbal Tea,969,Decaf
California,89,Lemon,527,Major Market,265,West,75,Herbal Tea,1213,Decaf
California,35,Darjeeling,213,Major Market,91,West,24,Tea,756,Regular
California,38,Earl Grey,230,Major Market,98,West,26,Tea,562,Regular
California,96,Caffe Latte,521,Major Market,165,West,72,Espresso,1559,Regular
California,91,Caffe Latte,509,Major Market,220,West,66,Espresso,1464,Regular
California,54,Green Tea,194,Major Market,83,West,23,Tea,650,Regular
California,54,Green Tea,179,Major Market,70,West,22,Tea,677,Regular
California,37,Chamomile,234,Major Market,102,West,26,Herbal Tea,821,Decaf
California,91,Lemon,522,Major Market,258,West,69,Herbal Tea,1272,Decaf
California,35,Darjeeling,227,Major Market,135,West,24,Tea,756,Regular
California,89,Caffe Latte,516,Major Market,228,West,72,Espresso,1715,Regular
California,165,Columbian,882,Major Market,493,West,124,Coffee,2476,Regular
California,149,Columbian,745,Major Market,402,West,97,Coffee,2642,Regular
California,100,Decaf Irish Cream,165,Major Market,-189,West,64,Coffee,3139,Decaf
California,56,Green Tea,201,Major Market,86,West,24,Tea,549,Regular
California,51,Green Tea,160,Major Market,58,West,19,Tea,656,Regular
California,189,Caffe Mocha,412,Major Market,50,West,156,Espresso,927,Regular
California,156,Caffe Mocha,322,Major Market,31,West,122,Espresso,940,Regular
California,134,Caffe Mocha,280,Major Market,26,West,95,Espresso,725,Regular
California,156,Caffe Mocha,343,Major Market,46,West,122,Espresso,940,Regular
California,116,Decaf Espresso,628,Major Market,326,West,83,Espresso,1686,Decaf
California,89,Lemon,506,Major Market,249,West,64,Herbal Tea,965,Decaf
California,39,Mint,190,Major Market,68,West,27,Herbal Tea,613,Decaf
California,37,Mint,188,Major Market,92,West,27,Herbal Tea,584,Decaf
California,25,Mint,96,Major Market,39,West,12,Herbal Tea,541,Decaf
California,38,Darjeeling,254,Major Market,153,West,29,Tea,821,Regular
California,34,Earl Grey,198,Major Market,83,West,22,Tea,460,Regular
California,35,Earl Grey,210,Major Market,89,West,24,Tea,499,Regular
California,145,Columbian,678,Major Market,262,West,94,Coffee,2101,Regular
California,88,Lemon,496,Major Market,243,West,66,Herbal Tea,942,Decaf
California,87,Lemon,507,Major Market,253,West,72,Herbal Tea,1060,Decaf
California,83,Caffe Latte,423,Major Market,129,West,59,Espresso,1778,Regular
California,72,Amaretto,87,Major Market,-139,West,49,Coffee,2105,Regular
California,63,Amaretto,117,Major Market,-113,West,39,Coffee,964,Regular
California,161,Columbian,842,Major Market,465,West,110,Coffee,2580,Regular
California,54,Green Tea,182,Major Market,56,West,23,Tea,650,Regular
California,180,Caffe Mocha,387,Major Market,45,West,147,Espresso,943,Regular
California,146,Caffe Mocha,298,Major Market,27,West,113,Espresso,898,Regular
California,122,Decaf Espresso,634,Major Market,240,West,89,Espresso,1616,Decaf
California,119,Decaf Espresso,672,Major Market,357,West,96,Espresso,1742,Decaf
California,38,Chamomile,234,Major Market,101,West,26,Herbal Tea,799,Decaf
California,40,Chamomile,261,Major Market,156,West,28,Herbal Tea,981,Decaf
California,95,Lemon,520,Major Market,186,West,74,Herbal Tea,1246,Decaf
California,40,Mint,193,Major Market,69,West,27,Herbal Tea,603,Decaf
California,38,Mint,190,Major Market,92,West,25,Herbal Tea,593,Decaf
California,40,Darjeeling,256,Major Market,112,West,29,Tea,952,Regular
California,45,Darjeeling,302,Major Market,134,West,34,Tea,915,Regular
California,38,Darjeeling,245,Major Market,146,West,24,Tea,777,Regular
California,33,Earl Grey,208,Major Market,123,West,24,Tea,499,Regular
California,90,Caffe Latte,478,Major Market,149,West,66,Espresso,1755,Regular
California,59,Amaretto,116,Major Market,-56,West,36,Coffee,2758,Regular
California,54,Green Tea,181,Major Market,71,West,22,Tea,559,Regular
California,38,Chamomile,254,Major Market,153,West,29,Herbal Tea,871,Decaf
California,43,Chamomile,309,Major Market,192,West,35,Herbal Tea,1007,Decaf
California,36,Darjeeling,219,Major Market,94,West,24,Tea,777,Regular
California,37,Darjeeling,254,Major Market,155,West,29,Tea,952,Regular
California,26,Earl Grey,133,Major Market,53,West,15,Tea,601,Regular
California,87,Caffe Latte,487,Major Market,211,West,63,Espresso,1436,Regular
California,55,Amaretto,141,Major Market,-40,West,33,Coffee,685,Regular
California,161,Columbian,790,Major Market,313,West,110,Coffee,2580,Regular
California,143,Columbian,650,Major Market,247,West,91,Coffee,2548,Regular
California,107,Decaf Irish Cream,166,Major Market,-137,West,64,Coffee,3139,Decaf
California,100,Decaf Irish Cream,156,Major Market,-188,West,57,Coffee,3909,Decaf
California,119,Decaf Espresso,612,Major Market,230,West,86,Espresso,1433,Decaf
California,40,Chamomile,245,Major Market,105,West,28,Herbal Tea,981,Decaf
California,35,Chamomile,210,Major Market,89,West,24,Herbal Tea,1003,Decaf
California,38,Darjeeling,243,Major Market,106,West,27,Tea,766,Regular
California,32,Earl Grey,199,Major Market,117,West,21,Tea,580,Regular
California,63,Amaretto,95,Major Market,-156,West,45,Coffee,1514,Regular
California,159,Columbian,756,Major Market,295,West,105,Coffee,2250,Regular
California,178,Columbian,910,Major Market,368,West,127,Coffee,2617,Regular
California,166,Columbian,904,Major Market,511,West,127,Coffee,2654,Regular
California,91,Decaf Irish Cream,118,Major Market,-117,West,47,Coffee,862,Decaf
California,94,Decaf Irish Cream,127,Major Market,-121,West,50,Coffee,1288,Decaf
California,93,Decaf Irish Cream,139,Major Market,-174,West,50,Coffee,3654,Decaf
California,55,Green Tea,189,Major Market,59,West,24,Tea,659,Regular
California,57,Green Tea,201,Major Market,84,West,23,Tea,558,Regular
California,46,Green Tea,130,Major Market,41,West,17,Tea,662,Regular
California,153,Caffe Mocha,342,Major Market,50,West,131,Espresso,874,Regular
California,128,Decaf Espresso,678,Major Market,259,West,96,Espresso,1742,Decaf
California,39,Chamomile,262,Major Market,159,West,26,Herbal Tea,821,Decaf
California,102,Lemon,567,Major Market,205,West,80,Herbal Tea,1319,Decaf
California,42,Mint,213,Major Market,104,West,27,Herbal Tea,623,Decaf
California,26,Earl Grey,134,Major Market,54,West,15,Tea,456,Regular
California,26,Earl Grey,123,Major Market,47,West,14,Tea,589,Regular
California,34,Earl Grey,212,Major Market,125,West,22,Tea,588,Regular
California,89,Caffe Latte,516,Major Market,228,West,72,Espresso,1559,Regular
California,66,Amaretto,86,Major Market,-190,West,49,Coffee,1832,Regular
California,113,Decaf Espresso,628,Major Market,331,West,89,Espresso,1616,Decaf
California,45,Chamomile,301,Major Market,133,West,34,Herbal Tea,947,Decaf
California,42,Chamomile,265,Major Market,115,West,30,Herbal Tea,971,Decaf
California,96,Lemon,532,Major Market,192,West,75,Herbal Tea,1213,Decaf
California,96,Lemon,559,Major Market,279,West,74,Herbal Tea,1321,Decaf
California,88,Caffe Latte,456,Major Market,140,West,63,Espresso,1459,Regular
California,68,Amaretto,96,Major Market,-113,West,45,Coffee,1514,Regular
California,146,Columbian,675,Major Market,259,West,94,Coffee,2041,Regular
California,178,Columbian,912,Major Market,370,West,127,Coffee,2654,Regular
California,149,Columbian,699,Major Market,271,West,97,Coffee,2642,Regular
California,148,Columbian,749,Major Market,407,West,105,Coffee,2250,Regular
California,121,Decaf Irish Cream,202,Major Market,-157,West,78,Coffee,2797,Decaf
California,133,Caffe Mocha,286,Major Market,35,West,109,Espresso,788,Regular
California,130,Decaf Espresso,687,Major Market,262,West,97,Espresso,1714,Decaf
California,107,Decaf Espresso,532,Major Market,197,West,75,Espresso,1691,Decaf
California,109,Decaf Espresso,581,Major Market,300,West,77,Espresso,1282,Decaf
California,85,Lemon,456,Major Market,162,West,64,Herbal Tea,969,Decaf
California,40,Mint,190,Major Market,67,West,27,Herbal Tea,623,Decaf
California,25,Mint,92,Major Market,27,West,13,Herbal Tea,536,Decaf
California,27,Earl Grey,150,Major Market,84,West,15,Tea,456,Regular
California,32,Earl Grey,201,Major Market,119,West,21,Tea,449,Regular
California,34,Earl Grey,211,Major Market,123,West,22,Tea,460,Regular
California,35,Earl Grey,228,Major Market,135,West,26,Tea,608,Regular
California,96,Caffe Latte,521,Major Market,165,West,72,Espresso,1715,Regular
California,61,Amaretto,109,Major Market,-74,West,39,Coffee,2378,Regular
California,61,Amaretto,116,Major Market,-110,West,39,Coffee,2378,Regular
California,110,Decaf Irish Cream,163,Major Market,-142,West,64,Coffee,1952,Decaf
California,117,Decaf Irish Cream,192,Major Market,-149,West,73,Coffee,4216,Decaf
California,53,Green Tea,160,Major Market,43,West,21,Tea,593,Regular
California,49,Green Tea,135,Major Market,32,West,17,Tea,641,Regular
California,165,Caffe Mocha,345,Major Market,36,West,131,Espresso,874,Regular
California,116,Decaf Espresso,598,Major Market,225,West,84,Espresso,1662,Decaf
California,88,Lemon,465,Major Market,164,West,66,Herbal Tea,942,Decaf
California,95,Lemon,562,Major Market,283,West,80,Herbal Tea,1319,Decaf
California,34,Earl Grey,199,Major Market,84,West,22,Tea,588,Regular
California,90,Caffe Latte,509,Major Market,221,West,66,Espresso,1755,Regular
California,54,Green Tea,180,Major Market,54,West,23,Tea,558,Regular
California,51,Green Tea,150,Major Market,39,West,19,Tea,656,Regular
California,41,Chamomile,256,Major Market,111,West,29,Herbal Tea,871,Decaf
California,33,Chamomile,211,Major Market,125,West,22,Herbal Tea,984,Decaf
California,40,Mint,206,Major Market,102,West,27,Herbal Tea,603,Decaf
California,45,Darjeeling,301,Major Market,133,West,34,Tea,941,Regular
California,37,Earl Grey,243,Major Market,145,West,28,Tea,598,Regular
California,26,Earl Grey,131,Major Market,70,West,14,Tea,589,Regular
California,90,Caffe Latte,478,Major Market,149,West,66,Espresso,1417,Regular
California,59,Amaretto,105,Major Market,-116,West,40,Coffee,1215,Regular
California,177,Columbian,890,Major Market,357,West,124,Coffee,2476,Regular
California,147,Caffe Mocha,298,Major Market,26,West,113,Espresso,729,Regular
California,146,Caffe Mocha,318,Major Market,40,West,113,Espresso,898,Regular
California,46,Chamomile,312,Major Market,139,West,35,Herbal Tea,1007,Decaf
California,94,Lemon,512,Major Market,183,West,72,Herbal Tea,1060,Decaf
California,38,Mint,178,Major Market,62,West,25,Herbal Tea,593,Decaf
California,40,Mint,190,Major Market,67,West,27,Herbal Tea,584,Decaf
California,27,Mint,99,Major Market,29,West,14,Herbal Tea,531,Decaf
California,36,Darjeeling,223,Major Market,96,West,25,Tea,777,Regular
California,38,Darjeeling,259,Major Market,157,West,27,Tea,766,Regular
California,42,Darjeeling,298,Major Market,184,West,34,Tea,941,Regular
California,44,Darjeeling,309,Major Market,190,West,33,Tea,930,Regular
California,63,Amaretto,110,Major Market,-76,West,39,Coffee,964,Regular
California,61,Amaretto,109,Major Market,-74,West,39,Coffee,2555,Regular
California,143,Columbian,693,Major Market,367,West,91,Coffee,2548,Regular
California,91,Decaf Irish Cream,122,Major Market,-117,West,48,Coffee,1071,Decaf
California,109,Decaf Irish Cream,169,Major Market,-209,West,63,Coffee,1564,Decaf
California,96,Decaf Irish Cream,147,Major Market,-178,West,53,Coffee,3421,Decaf
California,49,Green Tea,131,Major Market,30,West,17,Tea,662,Regular
California,54,Green Tea,192,Major Market,80,West,23,Tea,541,Regular
California,128,Caffe Mocha,250,Major Market,17,West,95,Espresso,725,Regular
California,142,Caffe Mocha,289,Major Market,26,West,109,Espresso,912,Regular
California,110,Lemon,672,Major Market,344,West,96,Herbal Tea,1296,Decaf
California,31,Mint,141,Major Market,64,West,19,Herbal Tea,548,Decaf
California,99,Caffe Latte,532,Major Market,167,West,74,Espresso,1819,Regular
California,115,Decaf Espresso,587,Major Market,220,West,83,Espresso,1316,Decaf
California,48,Chamomile,323,Major Market,143,West,36,Herbal Tea,994,Decaf
California,40,Mint,199,Major Market,72,West,28,Herbal Tea,564,Decaf
California,45,Darjeeling,322,Major Market,199,West,34,Tea,915,Regular
California,38,Earl Grey,230,Major Market,98,West,26,Tea,608,Regular
California,87,Caffe Latte,457,Major Market,142,West,63,Espresso,1436,Regular
California,67,Amaretto,86,Major Market,-192,West,49,Coffee,2105,Regular
California,146,Columbian,719,Major Market,384,West,94,Coffee,2041,Regular
California,56,Green Tea,189,Major Market,58,West,24,Tea,549,Regular
California,32,Earl Grey,189,Major Market,80,West,21,Tea,449,Regular
California,55,Amaretto,132,Major Market,-27,West,33,Coffee,685,Regular
California,61,Amaretto,116,Major Market,-110,West,39,Coffee,2555,Regular
California,96,Decaf Irish Cream,138,Major Market,-120,West,53,Coffee,3421,Decaf
California,100,Decaf Irish Cream,146,Major Market,-127,West,57,Coffee,3909,Decaf
California,113,Decaf Irish Cream,200,Major Market,-217,West,78,Coffee,2797,Decaf
California,121,Decaf Espresso,681,Major Market,362,West,97,Espresso,1714,Decaf
California,37,Mint,197,Major Market,99,West,28,Herbal Tea,564,Decaf
California,52,Amaretto,145,Major Market,-2,West,30,Coffee,608,Regular
California,57,Amaretto,133,Major Market,-61,West,34,Coffee,796,Regular
California,59,Amaretto,124,Major Market,-83,West,36,Coffee,2758,Regular
California,109,Decaf Irish Cream,159,Major Market,-141,West,63,Coffee,1564,Decaf
California,143,Caffe Mocha,290,Major Market,26,West,110,Espresso,712,Regular
California,143,Caffe Mocha,309,Major Market,39,West,110,Espresso,712,Regular
California,142,Caffe Mocha,308,Major Market,39,West,109,Espresso,912,Regular
California,113,Decaf Espresso,567,Major Market,211,West,80,Espresso,1260,Decaf
California,45,Chamomile,320,Major Market,197,West,36,Herbal Tea,994,Decaf
California,35,Chamomile,224,Major Market,132,West,24,Herbal Tea,1003,Decaf
California,118,Lemon,678,Major Market,249,West,96,Herbal Tea,1296,Decaf
California,45,Darjeeling,302,Major Market,134,West,34,Tea,959,Regular
California,33,Earl Grey,211,Major Market,125,West,22,Tea,441,Regular
California,99,Caffe Latte,532,Major Market,167,West,74,Espresso,1797,Regular
California,94,Caffe Latte,501,Major Market,157,West,70,Espresso,1820,Regular
California,57,Amaretto,125,Major Market,-41,West,34,Coffee,796,Regular
California,91,Decaf Irish Cream,130,Major Market,-174,West,48,Coffee,1071,Decaf
California,102,Decaf Irish Cream,162,Major Market,-196,West,64,Coffee,1952,Decaf
California,103,Decaf Irish Cream,167,Major Market,-196,West,66,Coffee,2393,Decaf
California,42,Chamomile,282,Major Market,171,West,30,Herbal Tea,971,Decaf
California,35,Earl Grey,228,Major Market,135,West,26,Tea,562,Regular
California,91,Caffe Latte,478,Major Market,148,West,66,Espresso,1464,Regular
California,152,Columbian,759,Major Market,408,West,94,Coffee,2101,Regular
California,46,Green Tea,134,Major Market,44,West,17,Tea,641,Regular
California,46,Green Tea,130,Major Market,41,West,17,Tea,668,Regular
California,37,Chamomile,232,Major Market,100,West,26,Herbal Tea,809,Decaf
California,42,Chamomile,298,Major Market,184,West,34,Herbal Tea,947,Decaf
California,93,Caffe Latte,498,Major Market,156,West,69,Espresso,1775,Regular
California,94,Caffe Latte,534,Major Market,233,West,70,Espresso,1820,Regular
California,63,Amaretto,102,Major Market,-88,West,40,Coffee,2947,Regular
California,139,Columbian,623,Major Market,235,West,87,Coffee,2580,Regular
California,93,Decaf Irish Cream,130,Major Market,-117,West,50,Coffee,3654,Decaf
California,117,Decaf Irish Cream,205,Major Market,-221,West,73,Coffee,4216,Decaf
California,143,Caffe Mocha,290,Major Market,26,West,110,Espresso,910,Regular
California,176,Caffe Mocha,408,Major Market,69,West,156,Espresso,927,Regular
California,143,Caffe Mocha,309,Major Market,39,West,110,Espresso,910,Regular
California,109,Decaf Espresso,545,Major Market,202,West,77,Espresso,1282,Decaf
California,114,Decaf Espresso,611,Major Market,316,West,77,Espresso,1310,Decaf
California,95,Lemon,554,Major Market,276,West,74,Herbal Tea,1246,Decaf
California,31,Mint,132,Major Market,43,West,19,Herbal Tea,548,Decaf
California,36,Darjeeling,238,Major Market,142,West,25,Tea,777,Regular
California,40,Darjeeling,274,Major Market,166,West,31,Tea,897,Regular
California,33,Earl Grey,198,Major Market,84,West,22,Tea,441,Regular
California,83,Caffe Latte,451,Major Market,191,West,59,Espresso,1778,Regular
Colorado,39,Amaretto,243,Major Market,105,Central,27,Coffee,766,Regular
Colorado,36,Amaretto,227,Major Market,134,Central,24,Coffee,756,Regular
Colorado,45,Amaretto,322,Major Market,199,Central,34,Coffee,959,Regular
Colorado,39,Columbian,190,Major Market,68,Central,27,Coffee,584,Regular
Colorado,39,Columbian,202,Major Market,101,Central,27,Coffee,613,Regular
Colorado,38,Columbian,197,Major Market,98,Central,28,Coffee,564,Regular
Colorado,32,Columbian,141,Major Market,62,Central,19,Coffee,548,Regular
Colorado,24,Columbian,96,Major Market,40,Central,12,Coffee,541,Regular
Colorado,40,Decaf Irish Cream,245,Major Market,105,Central,28,Coffee,822,Decaf
Colorado,38,Decaf Irish Cream,247,Major Market,147,Central,26,Coffee,809,Decaf
Colorado,38,Decaf Irish Cream,249,Major Market,150,Central,26,Coffee,799,Decaf
Colorado,40,Decaf Irish Cream,261,Major Market,156,Central,28,Coffee,822,Decaf
Colorado,37,Decaf Irish Cream,254,Major Market,155,Central,29,Coffee,871,Decaf
Colorado,43,Decaf Irish Cream,309,Major Market,192,Central,35,Coffee,1007,Decaf
Colorado,26,Green Tea,100,Major Market,30,Central,14,Tea,623,Regular
Colorado,28,Green Tea,106,Major Market,32,Central,15,Tea,608,Regular
Colorado,26,Green Tea,94,Major Market,27,Central,13,Tea,592,Regular
Colorado,27,Green Tea,112,Major Market,47,Central,14,Tea,623,Regular
Colorado,28,Green Tea,113,Major Market,47,Central,15,Tea,608,Regular
Colorado,26,Caffe Mocha,134,Major Market,54,Central,15,Espresso,456,Regular
Colorado,36,Caffe Mocha,210,Major Market,88,Central,24,Espresso,499,Regular
Colorado,38,Caffe Mocha,230,Major Market,98,Central,26,Espresso,608,Regular
Colorado,34,Caffe Mocha,199,Major Market,84,Central,22,Espresso,588,Regular
Colorado,32,Caffe Mocha,187,Major Market,79,Central,21,Espresso,580,Regular
Colorado,25,Caffe Mocha,123,Major Market,48,Central,14,Espresso,589,Regular
Colorado,32,Caffe Mocha,201,Major Market,119,Central,21,Espresso,449,Regular
Colorado,34,Caffe Mocha,228,Major Market,137,Central,26,Espresso,562,Regular
Colorado,25,Caffe Mocha,131,Major Market,71,Central,14,Espresso,589,Regular
Colorado,55,Decaf Espresso,189,Major Market,59,Central,24,Espresso,549,Decaf
Colorado,52,Decaf Espresso,160,Major Market,44,Central,21,Espresso,593,Decaf
Colorado,48,Decaf Espresso,135,Major Market,33,Central,17,Espresso,641,Decaf
Colorado,48,Decaf Espresso,131,Major Market,31,Central,17,Espresso,668,Decaf
Colorado,51,Decaf Espresso,150,Major Market,39,Central,19,Espresso,656,Decaf
Colorado,54,Decaf Espresso,182,Major Market,56,Central,23,Espresso,650,Decaf
Colorado,56,Decaf Espresso,189,Major Market,58,Central,24,Espresso,659,Decaf
Colorado,54,Decaf Espresso,181,Major Market,71,Central,22,Espresso,559,Decaf
Colorado,45,Decaf Espresso,130,Major Market,43,Central,17,Espresso,668,Decaf
Colorado,69,Chamomile,325,Major Market,94,Central,45,Herbal Tea,1091,Decaf
Colorado,65,Chamomile,291,Major Market,81,Central,40,Herbal Tea,1304,Decaf
Colorado,64,Chamomile,291,Major Market,82,Central,40,Herbal Tea,1292,Decaf
Colorado,66,Chamomile,306,Major Market,87,Central,42,Herbal Tea,1319,Decaf
Colorado,68,Chamomile,330,Major Market,129,Central,43,Herbal Tea,1280,Decaf
Colorado,76,Lemon,122,Major Market,-5,Central,46,Herbal Tea,503,Decaf
Colorado,77,Lemon,125,Major Market,-4,Central,47,Herbal Tea,509,Decaf
Colorado,77,Lemon,133,Major Market,-6,Central,47,Herbal Tea,421,Decaf
Colorado,65,Lemon,106,Major Market,-10,Central,40,Herbal Tea,496,Decaf
Colorado,61,Lemon,94,Major Market,-14,Central,36,Herbal Tea,517,Decaf
Colorado,47,Mint,140,Major Market,33,Central,19,Herbal Tea,329,Decaf
Colorado,42,Mint,108,Major Market,20,Central,15,Herbal Tea,415,Decaf
Colorado,44,Mint,127,Major Market,29,Central,17,Herbal Tea,424,Decaf
Colorado,39,Mint,107,Major Market,28,Central,15,Herbal Tea,415,Decaf
Colorado,54,Darjeeling,121,Major Market,13,Central,20,Tea,337,Regular
Colorado,53,Darjeeling,120,Major Market,13,Central,20,Tea,404,Regular
Colorado,51,Darjeeling,103,Major Market,6,Central,17,Tea,422,Regular
Colorado,51,Darjeeling,110,Major Market,9,Central,17,Tea,422,Regular
Colorado,40,Earl Grey,140,Major Market,36,Central,19,Tea,965,Regular
Colorado,41,Earl Grey,135,Major Market,32,Central,19,Tea,952,Regular
Colorado,39,Earl Grey,122,Major Market,27,Central,17,Tea,992,Regular
Colorado,37,Earl Grey,118,Major Market,27,Central,16,Tea,1037,Regular
Colorado,37,Earl Grey,116,Major Market,26,Central,16,Tea,1054,Regular
Colorado,41,Earl Grey,147,Major Market,50,Central,19,Tea,965,Regular
Colorado,36,Earl Grey,121,Major Market,37,Central,17,Tea,992,Regular
Colorado,36,Amaretto,219,Major Market,94,Central,24,Coffee,777,Regular
Colorado,42,Amaretto,276,Major Market,121,Central,31,Coffee,897,Regular
Colorado,45,Amaretto,302,Major Market,134,Central,34,Coffee,959,Regular
Colorado,38,Amaretto,245,Major Market,146,Central,24,Coffee,777,Regular
Colorado,39,Amaretto,274,Major Market,167,Central,31,Coffee,897,Regular
Colorado,46,Amaretto,322,Major Market,197,Central,34,Coffee,915,Regular
Colorado,44,Amaretto,309,Major Market,190,Central,33,Coffee,930,Regular
Colorado,29,Columbian,120,Major Market,39,Central,17,Coffee,554,Regular
Colorado,24,Columbian,90,Major Market,27,Central,12,Coffee,541,Regular
Colorado,25,Columbian,98,Major Market,40,Central,13,Coffee,536,Regular
Colorado,38,Decaf Irish Cream,232,Major Market,99,Central,26,Coffee,809,Decaf
Colorado,46,Decaf Irish Cream,301,Major Market,132,Central,34,Coffee,947,Decaf
Colorado,47,Decaf Irish Cream,323,Major Market,144,Central,36,Coffee,994,Decaf
Colorado,41,Decaf Irish Cream,265,Major Market,116,Central,30,Coffee,971,Decaf
Colorado,40,Decaf Irish Cream,262,Major Market,157,Central,26,Coffee,821,Decaf
Colorado,41,Decaf Irish Cream,282,Major Market,172,Central,30,Coffee,971,Decaf
Colorado,26,Green Tea,99,Major Market,30,Central,14,Tea,602,Regular
Colorado,34,Green Tea,155,Major Market,53,Central,22,Tea,587,Regular
Colorado,42,Green Tea,200,Major Market,70,Central,29,Tea,561,Regular
Colorado,38,Green Tea,185,Major Market,66,Central,26,Tea,551,Regular
Colorado,26,Green Tea,104,Major Market,43,Central,14,Tea,613,Regular
Colorado,32,Green Tea,149,Major Market,70,Central,20,Tea,579,Regular
Colorado,38,Green Tea,197,Major Market,98,Central,26,Tea,551,Regular
